Site #,Samples Collected,Date ,Time,Location,Weather,"Coordinates (º N, º W)",Altitude (m),Direction Facing (º),Aspect (º),Air Temp (º C),Snow Temp (º C) ,Snow Info
5,"R-A6 R-A7, R-A8, R-A9",2/12/21,20:45,Down from a parking lot at Summit at Snoqualmie Central .,Strong winds with very fine snow falling.,"47.2430, 121.2438",888,SSE,16,-8.3,-2,"Powder for first 32 cm, crust/grainular beyond"
6,R-A1,2/13/21,10:15,"Todd Field, north","Snowy, accumulating","47.15433, 122.28531",108,N/A,N/A,-1,-3.6,Very fine powder
6,"R-A2, R-A3",2/13/21,11:15,"Todd Field, middle","Snowy, accumulating","47.15441, 122.28537",108,N/A,N/A,-1,-3.6,Very fine powder
6,"R-A4, R-A5",2/13/21,12:15,"Todd Field, south","Snowy, accumulating","47.15432, 122.28534",108,N/A,N/A,-1,-3.6,Very fine powder
7,"R-A1, R-A2, R-A4, R-A5, R-A6, R-A7, R-A8, R-A9, R-A10",4/14/21,11:45,"Above Paradise to the northwest, same location as site 1.",Clear,"46.793989, 121.738741",1801,60,17.8,6.1,0.4,"1.5-3 mm conglomerate, rounded grains, crusty -- previously melted but still cold."
8,"R-A1, R-A2, R-A3 R-A4, OR",6/10/21,10:32,"Above Paradise to the northwest, same location as site 1.","Heavy fog -- intermittent openings in clouds, little sun","46.796263, 121.737050",1799,33,12.6,4.8,2.6,"Large flake, fresh now for first 0-1 cm, clean crust 1-3cm, drty crust 3-5 cm, 1.5-3 mm conglomerate until 40 cm"
