label,ugbasic,ngperg,t0
Rainier (UPS UPS UPS)/UPS2020-0/run_1.txt,0.4724974008222165,0.7874956680370274,0.2720856376063597
Rainier (UPS UPS UPS)/UPS2020-1/run_1.txt,2.2480263085252226,3.7467105142087043,3.0704136340977906
Rainier (UPS UPS UPS)/UPS2020-2/run_1.txt,2.9248615777056672,3.04673081011007,3.732201142490637
Rainier (UPS UPS UPS)/UPS2020-2/run_2.txt,3.1094042306932463,3.2389627403054653,3.718090744174149
Rainier (UPS UPS UPS)/UPS2020-2/run_3.txt,3.0501771063332628,3.177267819097149,3.6872915097358376
Rainier (UPS UPS UPS)/UPS2020-3/run_1.txt,1.3860016187715356,2.310002697952559,5.343119397266827
Rainier (UPS UPS UPS)/UPS2020-4/run_1.txt,2.5521231354215494,2.5020815053152448,3.286443648974539
Rainier (UPS UPS UPS)/UPS2020-5/run_1.txt,1.476609612362525,2.4610160206042084,2.955973514293832
Rainier (UPS UPS UPS)/UPS2020-6/run_1.txt,1.9763996348736894,2.058749619660093,3.242378191992578
Rainier (UPS UPS UPS)/UPS2020-8/run_1.txt,2.6493578013084518,2.597409609125933,3.2211594119058073
Rainier (UPS UPS UPS)/UPS2020-9/run_1.txt,0.8391426972093425,1.3985711620155707,1.8707611520664582
Rainier (UPS UPS UPS)/UPS2020-10/run_1.txt,1.2228579360676015,1.358731040075113,2.9884355360161323
Rainier (UPS UPS UPS)/UPS2020-11/run_1.txt,1.061993549771489,1.7699892496191483,2.8524887855217433
Rainier (UPS UPS UPS)/UPS2020-12/run_1.txt,1.581593023721891,1.5505813958057755,3.161538145408688
Rainier (UPS UPS UPS)/UPS2020-13/run_1.txt,1.5354269882665568,2.5590449804442614,2.9419765767628068
Rainier (UPS UPS UPS)/UPS2020-14/run_1.txt,2.1616805376217325,2.251750560022638,3.0216432593593248
Rainier (UPS UPS UPS)/UPS2020-15/run_1.txt,0.9171938186537036,1.5286563644228393,2.0420615514006393
Rainier (UPS UPS UPS)/UPS2020-16/run_1.txt,1.6032977019115622,1.7814418910128467,2.8161792328315873
Rainier (UPS UPS UPS)/UPS2020-17/run_1.txt,8.08776471662004,5.860699070014522,3.628719621295173
Rainier (UPS UPS UPS)/UPS2020-18/run_1.txt,6.092694694528271,4.4149961554552695,3.4246335705737327
Rainier (UPS UPS UPS)/UPS2020-19/run_1.txt,5.404218751170431,3.9161005443263996,3.3275216124054414
Rainier (UPS UPS UPS)/UPS2020-21/run_1.txt,10.043219942991692,16.738699904986156,4.118867809110061
Rainier (UPS UPS UPS)/UPS2020-22/run_1.txt,8.691464189239072,7.242886824365894,3.5112032044104766
Rainier (UPS UPS UPS)/UPS2020-23/run_1.txt,5.593571037732406,4.053312346182904,3.36948818869922
Rainier (UPS UPS UPS)/UPS2020-24/run_1.txt,4.214417447745055,3.053925686771779,3.1956129612963973
Rainier (UPS UPS UPS)/UPS2020-25/run_1.txt,3.171393335274474,2.298111112517735,3.2986311339639247
Rainier (UPS UPS UPS)/UPS2020-26/run_1.txt,9.521773274704682,9.918513827817378,3.6900894356073537
Rainier (UPS UPS UPS)/UPS2020-27/run_1.txt,11.324742131937166,11.796606387434547,3.6931368244643576
Rainier (UPS UPS UPS)/UPS2020-28/run_1.txt,12.567144640244178,13.090775666921019,3.5018125902578414
Rainier (UPS UPS UPS)/UPS2020-29/run_1.txt,8.02307455928465,8.357369332588178,3.3050745142422966
Rainier (UPS UPS UPS)/UPS2020-D1/run_1.txt,15.63449787853559,156.34497878535592,6.907503886431326
Rainier (UPS UPS UPS)/UPS2020-D2/run_1.txt,11.280138076539235,112.80138076539234,4.708129276153018
Rainier (UPS UPS UPS)/UPS2020-D3/run_1.txt,3.059131577317852,30.59131577317852,11.004132396610041
Rainier (UPS UPS UPS)/UPS2020-D4/run_1.txt,1.6579354351572384,16.579354351572384,10.608336326909024
Rainier (UPS UPS UPS)/UPS2020-D5/run_1.txt,5.71404158399641,57.140415839964106,10.315630667144994
Rainier (UPS UPS UPS)/UPS2020-D6/run_1.txt,5.809819908453861,58.09819908453861,4.472445008005431
