label,ugbasic,ngperg,t0
Rainier (UPS UPS UPS)/2025-06-06-07-1LA/run_1.txt,6.545016013510542,119.00029115473713,4.408114558391485
Rainier (UPS UPS UPS)/2025-06-06-07-1LB/run_1.txt,6.8331437641083514,113.88572940180586,4.537801897806043
Rainier (UPS UPS UPS)/2025-06-06-07-1LC/run_1.txt,7.0495196779607845,117.49199463267975,4.755350280032662
Rainier (UPS UPS UPS)/2025-06-06-07-1RA/run_1.txt,5.565435530188564,55.654355301885644,4.53108579419062
Rainier (UPS UPS UPS)/2025-06-06-07-1RB/run_1.txt,6.919512082567108,57.662600688059236,4.574582401550235
Rainier (UPS UPS UPS)/2025-06-06-07-2LA/run_1.txt,5.848994343609261,18.278107323778944,4.0640101235927135
Rainier (UPS UPS UPS)/2025-06-06-07-2LB/run_1.txt,13.513189746100554,25.98690335788568,4.2984260956361675
Rainier (UPS UPS UPS)/2025-06-06-07-2R/run_1.txt,8.246092774860807,24.988159923820632,3.9787223830791776
Rainier (UPS UPS UPS)/2025-06-06-07-3LA/run_1.txt,8.130267253205535,15.786926705253466,4.018886798983927
Rainier (UPS UPS UPS)/2025-06-06-07-3LB/run_1.txt,7.986278353432388,15.507336608606579,4.043780302614674
Rainier (UPS UPS UPS)/2025-06-06-07-3R/run_1.txt,7.519971922802005,14.745042985886286,4.225497377685499
Rainier (UPS UPS UPS)/2025-06-06-07-4LA/run_1.txt,8.456298483877605,21.408350592095204,4.023586787918724
Rainier (UPS UPS UPS)/2025-06-06-07-4LB/run_1.txt,7.975686907533182,20.45047925008508,4.200906907620606
Rainier (UPS UPS UPS)/2025-06-06-07-4R/run_1.txt,6.631020870593918,17.002617616907482,4.117572824235699
Rainier (UPS UPS UPS)/2025-06-06-07-5LA/run_1.txt,5.237027296230277,25.546474615757447,4.245009172671273
Rainier (UPS UPS UPS)/2025-06-06-07-5LB/run_1.txt,4.73248966684241,23.085315448011755,4.23792655559231
Rainier (UPS UPS UPS)/2025-06-06-07-5R/run_1.txt,6.523558523630824,16.30889630907706,4.224875148708667
Rainier (UPS UPS UPS)/2025-06-06-07-6LA/run_1.txt,6.784577887432144,20.559326931612556,4.3656382358139485
Rainier (UPS UPS UPS)/2025-06-06-07-6LB/run_1.txt,4.424312067828467,22.121560339142334,4.222745584523095
Rainier (UPS UPS UPS)/2025-06-06-07-6R/run_1.txt,6.529377925339258,16.323444813348146,4.206746500208109
Rainier (UPS UPS UPS)/2025-06-06-07-7/run_1.txt,5.79878033699163,8.110182289498782,4.0666215146856155
Rainier (UPS UPS UPS)/2025-06-10-02-1A/run_1.txt,12.992262564659939,288.716945881332,7.311650452870008
Rainier (UPS UPS UPS)/2025-06-10-02-1B/run_1.txt,14.389351752624734,411.1243357892781,7.210780755923136
Rainier (UPS UPS UPS)/2025-06-10-02-2A/run_1.txt,5.668215595262492,17.713173735195284,4.692588991704626
Rainier (UPS UPS UPS)/2025-06-10-02-2B/run_1.txt,6.029768414154345,23.191416977516713,4.554721929075876
Rainier (UPS UPS UPS)/2025-06-10-02-3A/run_1.txt,6.814824486401708,17.47390893949156,4.260653429452444
Rainier (UPS UPS UPS)/2025-06-10-02-3B/run_1.txt,7.198266868523348,21.812929904616208,4.619081988282767
Rainier (UPS UPS UPS)/2025-06-10-02-4A/run_1.txt,5.0209008288571315,5.578778698730146,4.138984875541955
Rainier (UPS UPS UPS)/2025-06-10-02-4B/run_1.txt,3.76925177017087,5.543017309074809,4.082423148384616
Rainier (UPS UPS UPS)/2025-06-10-02-5A/run_1.txt,4.553605890614163,5.875620504018275,4.054539727590847
Rainier (UPS UPS UPS)/2025-06-10-02-5B/run_1.txt,4.3812331697611775,5.653204090014422,4.090155569031283
Rainier (UPS UPS UPS)/2025-06-10-04-1A/run_1.txt,13.931449717632987,121.14304102289555,6.766226621341582
Rainier (UPS UPS UPS)/2025-06-10-04-1B/run_1.txt,13.985973415959858,147.22077279957745,6.035296643142956
Rainier (UPS UPS UPS)/2025-06-10-04-2A/run_1.txt,5.121584565919578,7.213499388619125,4.2723035279308315
Rainier (UPS UPS UPS)/2025-06-10-04-2B/run_1.txt,4.962063400985745,7.633943693824222,4.189970111565189
Rainier (UPS UPS UPS)/2025-06-10-04-3A/run_1.txt,4.3646399303348815,8.39353832756708,3.9662960324060745
Rainier (UPS UPS UPS)/2025-06-10-04-3B/run_1.txt,4.0606729059694056,7.808986357633472,4.093879327786401
Rainier (UPS UPS UPS)/2025-06-10-04-3C/run_1.txt,3.3116561078169617,7.199252408297743,4.103691864062262
Rainier (UPS UPS UPS)/2025-06-10-04-4A/run_1.txt,5.36997293272052,6.973990821714961,4.034195948836986
Rainier (UPS UPS UPS)/2025-06-10-04-4B/run_1.txt,4.474367968046274,6.779345406130719,3.9918799714148183
Rainier (UPS UPS UPS)/2025-06-10-04-5A/run_1.txt,4.169328714927769,5.41471261678931,4.014700758716718
Rainier (UPS UPS UPS)/2025-06-10-04-5B/run_1.txt,4.016093885558852,5.427153899403854,3.9659198897649586
Rainier (UPS UPS UPS)/2025-06-24-07-1A/run_1.txt,6.019903098009966,200.6634366003322,5.036403558235313
Rainier (UPS UPS UPS)/2025-06-24-07-1B/run_1.txt,9.756233411359052,195.12466822718102,5.6558577608690985
Rainier (UPS UPS UPS)/2025-06-24-07-1C/run_1.txt,8.907314417134888,296.9104805711629,5.602241612364612
Rainier (UPS UPS UPS)/2025-06-24-07-2A/run_1.txt,3.7744770830687475,75.48954166137494,4.223962699828066
Rainier (UPS UPS UPS)/2025-06-24-07-2B/run_1.txt,3.7622909552904913,75.24581910580983,4.188227832359045
Rainier (UPS UPS UPS)/2025-06-24-07-2C/run_1.txt,4.103022676830249,74.60041230600453,4.177079103302378
Rainier (UPS UPS UPS)/2025-06-24-07-3A/run_1.txt,6.61215098855717,50.86269991197823,4.159953857135508
Rainier (UPS UPS UPS)/2025-06-24-07-3B/run_1.txt,4.999525405149889,52.626583212104094,4.048450458993227
Rainier (UPS UPS UPS)/2025-06-24-07-4A/run_1.txt,7.0204826301447,35.1024131507235,4.160811408908768
Rainier (UPS UPS UPS)/2025-06-24-07-4B/run_1.txt,6.710305102507904,33.55152551253952,4.198806426359417
Rainier (UPS UPS UPS)/2025-06-24-07-5A/run_1.txt,9.465537891560958,47.32768945780479,4.226347592435343
Rainier (UPS UPS UPS)/2025-06-24-07-5B/run_1.txt,6.278447263501336,44.8460518821524,4.180886653715404
Rainier (UPS UPS UPS)/2025-06-24-07-6A/run_1.txt,6.923020834145051,21.30160256660016,4.151272972662613
Rainier (UPS UPS UPS)/2025-06-24-07-6B/run_1.txt,6.21482798717207,23.45218108366819,4.081357806595621
Rainier (UPS UPS UPS)/2025-06-24-14-1A/run_1.txt,8.06924317270416,46.109960986880914,5.1228815593169115
Rainier (UPS UPS UPS)/2025-06-24-14-1B/run_1.txt,7.301412436215344,91.2676554526918,5.142617661174792
Rainier (UPS UPS UPS)/2025-06-24-14-1C/run_1.txt,6.933554537374929,106.67006980576814,4.812668669505073
Rainier (UPS UPS UPS)/2025-06-24-14-2A/run_1.txt,4.627305333086885,11.86488546945355,4.111668587385267
Rainier (UPS UPS UPS)/2025-06-24-14-2B/run_1.txt,5.023222075654216,15.221885077740048,4.088890764997077
Rainier (UPS UPS UPS)/2025-06-24-14-2C/run_1.txt,4.3261458041210945,13.109532739760894,4.137317196448683
Rainier (UPS UPS UPS)/2025-06-24-14-3A/run_1.txt,10.38047093011777,31.455972515508392,3.916425511707664
Rainier (UPS UPS UPS)/2025-06-24-14-3B/run_1.txt,8.023428966498308,30.859342178839647,3.8364414395025968
Rainier (UPS UPS UPS)/2025-06-24-14-3C/run_1.txt,6.226389561410819,30.372632006882046,3.9035212120196645
Rainier (UPS UPS UPS)/2025-06-24-14-4A/run_1.txt,6.322102935720569,19.15788768400172,3.9553987734646316
Rainier (UPS UPS UPS)/2025-06-24-14-4B/run_1.txt,7.858805343835721,19.895709731229676,4.147418582217359
Rainier (UPS UPS UPS)/2025-06-24-14-4C/run_1.txt,7.851476295826499,20.393444924224674,4.064113211863343
Rainier (UPS UPS UPS)/2025-06-24-14-5A/run_1.txt,7.183522791727556,19.41492646412853,4.037977526588307
Rainier (UPS UPS UPS)/2025-06-24-14-5B/run_1.txt,6.9007135777901745,17.923931370883572,4.036531312010443
Rainier (UPS UPS UPS)/2025-06-24-14-6A/run_1.txt,7.896225524861064,13.270967268674056,4.20968369708113
Rainier (UPS UPS UPS)/2025-06-24-14-6B/run_1.txt,7.026928048310207,13.258354808132466,4.228230115897111
Rainier (UPS UPS UPS)/2025-07-03-07-1A/run_1.txt,9.56411623552019,273.2604638720054,6.16415506573204
Rainier (UPS UPS UPS)/2025-07-03-07-1B/run_1.txt,8.708767959857687,348.3507183943075,5.945987131896836
Rainier (UPS UPS UPS)/2025-07-03-07-1C/run_1.txt,5.511629531322905,137.7907382830726,4.950156435325177
Rainier (UPS UPS UPS)/2025-07-03-07-2A/run_1.txt,4.484467699970383,52.758443529063335,4.157757041134852
Rainier (UPS UPS UPS)/2025-07-03-07-2B/run_1.txt,5.258771814503531,55.355492784247694,4.427567740424833
Rainier (UPS UPS UPS)/2025-07-03-07-2C/run_1.txt,6.689722089801757,58.171496433058756,4.4041846819985775
Rainier (UPS UPS UPS)/2025-07-03-07-3A/run_1.txt,7.554866980621327,27.980988817116025,4.348684219597727
Rainier (UPS UPS UPS)/2025-07-03-07-3B/run_1.txt,6.014974482491278,29.341338938981842,4.140531997470742
Rainier (UPS UPS UPS)/2025-07-03-07-4A/run_1.txt,6.8813152917930225,14.959381069115267,4.316683341856222
Rainier (UPS UPS UPS)/2025-07-03-07-4B/run_1.txt,5.865510908427069,15.039771560069408,4.316529341289691
Rainier (UPS UPS UPS)/2025-07-03-07-5A/run_1.txt,7.5250465412348575,11.576994678822857,4.418565262473412
Rainier (UPS UPS UPS)/2025-07-03-07-5B/run_1.txt,7.20515474123787,10.007159362830375,4.343878193555511
Rainier (UPS UPS UPS)/2025-07-03-01-1A/run_1.txt,11.399083409037805,455.96333636151223,6.587751356340592
Rainier (UPS UPS UPS)/2025-07-03-01-1B/run_1.txt,9.729193919642071,389.16775678568285,6.181191755052315
Rainier (UPS UPS UPS)/2025-07-03-01-1C/run_1.txt,9.640694715746102,321.3564905248701,6.4542401123224025
Rainier (UPS UPS UPS)/2025-07-03-01-2A/run_1.txt,8.276143307353498,59.11530933823927,4.374409468746958
Rainier (UPS UPS UPS)/2025-07-03-01-2B/run_1.txt,9.889393714096105,65.92929142730738,4.506789713116549
Rainier (UPS UPS UPS)/2025-07-03-01-3A/run_1.txt,8.372626283495388,41.86313141747694,4.274289506382334
Rainier (UPS UPS UPS)/2025-07-03-01-3B/run_1.txt,7.764258681639873,37.87443259336524,4.276612351992726
Rainier (UPS UPS UPS)/2025-07-03-01-4A/run_1.txt,8.06248340589304,11.19789361929589,4.276471384607427
Rainier (UPS UPS UPS)/2025-07-03-01-4B/run_1.txt,7.317985726099035,10.454265322998621,4.283317455278426
Rainier (UPS UPS UPS)/2025-07-03-01-5A/run_1.txt,8.834798316308984,12.443377910294343,4.140303026734654
Rainier (UPS UPS UPS)/2025-07-03-01-5B/run_1.txt,7.7297062201060065,11.5368749553821,4.289338108348625
Rainier (UPS UPS UPS)/2025-07-03-01-6/run_1.txt,6.548085313264046,4.4243819684216525,4.384542400100235
