Sample,Site,Depth_Range,Depth,A,t0,schmitt_micrograms,schmitt_ngperg
2025-06-24-14-6B,14,70-90,5,4.42355935,4.22823012,7.026928048,13.25835481
2025-07-03-07-1A,7,0-5,1,5.33245483,6.16415507,9.564116236,273.2604639
2025-07-03-07-1B,7,0-5,1,5.04974503,5.94598713,8.70876796,348.3507184
2025-07-03-07-1C,7,0-5,1,3.72769061,4.95015644,5.511629531,137.7907383
2025-07-03-07-2A,7,5-10,1,3.20603961,4.15775704,4.4844677,52.75844353
2025-07-03-07-2B,7,5-10,1,3.63376811,4.42756774,5.258771815,55.35549278
2025-07-03-07-2C,7,5-10,1,4.28754354,4.40418468,6.68972209,58.17149643
2025-07-03-07-3A,7,10-30,2,4.63956334,4.34868422,7.554866981,27.98098882
2025-07-03-07-3B,7,10-30,2,3.96497885,4.140532,6.014974482,29.34133894
2025-07-03-07-4A,7,30-50,3,4.34009711,4.31668334,6.881315292,14.95938107
2025-07-03-07-4B,7,30-50,3,3.93216667,4.31652934,5.865510908,15.03977156
2025-07-03-07-5A,7,50-70,4,4.61521144,4.41856527,7.525046541,11.57699468
2025-07-03-07-5B,7,50-70,4,4.48029413,4.34387819,7.205154741,10.00715936
2025-07-03-01-1A,1,0-5,1,5.92917734,6.58775136,11.39908341,455.9633364
2025-07-03-01-1B,1,0-5,1,5.4195111,6.18119175,9.72919392,389.1677568
2025-07-03-01-1C,1,0-5,1,5.39186365,6.45424011,9.640694716,321.3564905
2025-07-03-01-2A,1,5-10,1,4.88530479,4.37440947,8.276143307,59.11530934
2025-07-03-01-2B,1,5-10,1,5.42817553,4.50678971,9.889393714,65.92929143
2025-07-03-01-3A,1,10-30,2,4.91287571,4.27428951,8.372626283,41.86313142
2025-07-03-01-3B,1,10-30,2,4.70816731,4.27661235,7.764258682,37.87443259
2025-07-03-01-4A,1,30-50,3,4.81342033,4.27647139,8.062483406,11.19789362
2025-07-03-01-4B,1,30-50,3,4.51509832,4.28331746,7.317985726,10.45426532
2025-07-03-01-5A,1,50-70,4,5.09509706,4.14030302,8.834798316,12.44337791
2025-07-03-01-5B,1,50-70,4,4.70885229,4.28933811,7.72970622,11.53687496
2025-07-03-01-6,1,70-90,5,4.20701082,4.3845424,6.548085313,4.424381968
